ApsimVersion = 7.10 r4171
Title = 11_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     18/09/1999         40.000        152.669        763.344        145.544         17.800        600.000         90.227        15844.5          8.000
     23/09/2000         40.000         90.301        451.504       -166.296         17.800        600.000         50.690        11132.5          8.000
     20/09/2001         40.000         78.644        393.222       -224.578         17.800        600.000         51.187         9776.5          8.000
     12/09/2002         40.000        106.817        534.083        -83.717         17.800        600.000         63.006        12073.4          8.000
     19/09/2003         40.000        125.617        628.086         10.286         17.800        600.000         58.316        13858.8          8.000
     03/10/2004         40.000        104.254        521.268        -96.532         17.800        600.000         57.495        11930.8          8.000
     13/09/2005         40.000        116.499        582.493        -35.307         17.800        600.000         69.321        12602.4          8.000
     15/09/2006         40.000        140.307        701.537         83.737         17.800        600.000         84.260        14648.5          8.000
     17/09/2007         40.000        103.432        517.160       -100.640         17.800        600.000         63.923        11959.3          8.000
     28/09/2008         40.000        118.579        592.896        -24.904         17.800        600.000         67.420        12336.1          8.000
     11/10/2009         40.000        147.552        737.762        119.962         17.800        600.000         74.750        15887.0          8.000
