ApsimVersion = 7.10 r4171
Title = 31_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     17/09/1999        120.000        208.106       1040.530        387.130         53.400        600.000        160.624        20406.4          8.000
     18/09/2000        120.000        197.469        987.346        333.946         53.400        600.000        108.041        19540.8          8.000
     14/09/2001        120.000        145.838        729.188         75.788         53.400        600.000         97.043        15751.9          8.000
     13/09/2002        120.000        174.562        872.808        219.408         53.400        600.000        131.733        17483.0          8.000
     18/09/2003        120.000        186.228        931.138        277.738         53.400        600.000        119.509        18835.8          8.000
     30/09/2004        120.000        198.707        993.533        340.133         53.400        600.000        108.537        20383.8          8.000
     13/09/2005        120.000        185.421        927.107        273.707         53.400        600.000        128.241        18735.4          8.000
     17/09/2006        120.000        200.775       1003.874        350.474         53.400        600.000        155.811        19801.3          8.000
     10/09/2007        120.000        177.662        888.310        234.910         53.400        600.000        124.210        18207.6          8.000
     28/09/2008        120.000        188.031        940.153        286.753         53.400        600.000        116.892        19050.8          8.000
     11/10/2009        120.000        205.159       1025.794        372.394         53.400        600.000        126.696        21619.3          8.000
