ApsimVersion = 7.10 r4171
Title = 66_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     10/10/1999        280.000        196.064        980.319        255.719        124.600        600.000        199.871        21925.3          8.000
     08/10/2000        280.000        203.765       1018.824        294.224        124.600        600.000        156.732        20588.4          8.000
     10/10/2001        280.000        192.791        963.954        239.354        124.600        600.000        163.837        19866.3          8.000
     26/09/2002        280.000        203.070       1015.348        290.748        124.600        600.000        192.278        20403.2          8.000
     02/10/2003        280.000        158.381        791.906         67.306        124.600        600.000        153.311        16043.7          8.000
     18/10/2004        280.000        192.959        964.793        240.193        124.600        600.000        212.729        23630.2          8.000
     23/09/2005        280.000        210.734       1053.669        329.069        124.600        600.000        195.227        21920.8          8.000
     06/10/2006        280.000        205.049       1025.247        300.647        124.600        600.000        203.328        21435.1          8.000
     02/10/2007        280.000        197.962        989.810        265.210        124.600        600.000        193.595        21676.8          8.000
     13/10/2008        280.000        207.592       1037.960        313.360        124.600        600.000        181.989        21621.1          8.000
     11/10/2009        280.000        152.135        760.676         36.076        124.600        600.000        185.738        21073.0          8.000
