ApsimVersion = 7.10 r4171
Title = 72_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999        280.000        186.304        931.521        206.921        124.600        600.000        209.781        22142.1          8.000
     08/10/2000        280.000        153.352        766.759         42.159        124.600        600.000        157.568        20716.6          8.000
     17/10/2001        280.000        165.682        828.410        103.810        124.600        600.000        171.809        20410.3          8.000
     16/10/2002        280.000        201.724       1008.620        284.020        124.600        600.000        199.289        22544.7          8.000
     02/10/2003        280.000        120.636        603.178       -121.422        124.600        600.000        152.886        15241.5          8.000
     18/10/2004        280.000        140.650        703.252        -21.348        124.600        600.000        215.156        22853.7          8.000
     13/10/2005        280.000        208.121       1040.603        316.003        124.600        600.000        203.674        23322.8          8.000
     12/10/2006        280.000        169.247        846.235        121.635        124.600        600.000        217.358        21766.5          8.000
     21/10/2007        280.000        194.562        972.808        248.208        124.600        600.000        204.978        22481.7          8.000
     29/10/2008        280.000        185.948        929.740        205.140        124.600        600.000        194.029        22118.4          8.000
     11/10/2009        280.000        100.067        500.337       -224.263        124.600        600.000        207.536        21429.2          8.000
